sale_id,sale_date,product_name,category,quantity,unit_price,total_amount,payment_method,status
S-20260115-02683,2026-01-15,Tandkräm,Personal Care,3,29.9,89.7,card,completed
S-20260115-02402,2026-01-15,Mineralvatten 0.5L,Beverages,1,14.9,14.9,card,completed
S-20260115-00487,2026-01-15,Mineralvatten 0.5L,Beverages,2,14.9,29.8,swish,completed
S-20260115-00297,15/01/2026,Chokladkaka,Snacks,1,24.9,24.9,card,completed
S-20260115-01362,2026-01-15,Tonfisk burk,Pantry,3,24.9,74.7,card,completed
S-20260115-01054,15/01/2026,Krossade tomater,Pantry,1,14.9,14.9,card,completed
S-20260115-02217,2026-01-15,Tomater,Produce,3,37.9,113.7,swish,completed
S-20260115-00437,2026-01-15,Mineralvatten 0.5L,Beverages,1,14.9,14.9,card,completed
S-20260115-02032,2026-01-15,Tomater,Produce,1,39.9,39.9,card,completed
S-20260115-00319,2026-01-15,Kaffe 500g,Beverages,3,66.41,199.23,card,completed
S-20260115-01579,2026-01-15,Bananer,Produce,1,31.39,31.39,card,completed
S-20260115-00081,2026-01-15,Läsk 1.5L,Beverages,1,24.9,24.9,card,completed
S-20260115-01178,2026-01-15,Cigaretter,Tobacco,1,71.1,71.1,card,completed
S-20260115-02286,15/01/2026,Te 20-pack,Beverages,1,34.9,34.9,card,completed
S-20260115-00369,2026-01-15,Tonfisk burk,Pantry,1,22.41,22.41,card,completed
S-20260115-01477,2026-01-15,Godis påse,Snacks,1,19.9,19.9,card,completed
S-20260115-00651,15/01/2026,Tomater,Produce,2,39.9,79.8,card,completed
S-20260115-00451,15/01/2026,Kaffe 500g,Beverages,2,69.9,139.8,card,completed
S-20260115-00830,15/01/2026,Äpplen,Produce,1,36.65,36.65,card,completed
S-20260115-02194,2026-01-15,Bröd Limpa,Bakery,1,29.9,29.9,card,completed
S-20260115-01799,2026-01-15,Mineralvatten 0.5L,Beverages,1,12.66,12.66,swish,completed
S-20260115-02275,15/01/2026,Ägg 12-pack,Dairy,3,39.9,119.7,swish,completed
S-20260115-00912,2026-01-15,Chips 275g,Snacks,2,29.9,59.8,card,completed
S-20260115-02243,2026-01-15,Ägg 12-pack,Dairy,2,39.9,79.8,card,completed
S-20260115-01852,15/01/2026,Tonfisk burk,Pantry,2,24.9,49.8,cash,completed
S-20260115-00795,2026-01-15,Tandkräm,Personal Care,5,29.9,149.5,card,completed
S-20260115-02011,2026-01-15,Diskmedel,Household,2,29.9,59.8,swish,completed
S-20260115-00846,2026-01-15,Äpplen,Produce,2,29.66,59.32,cash,completed
S-20260115-00765,15/01/2026,Chips 275g,Snacks,2,29.9,59.8,swish,completed
S-20260115-01011,2026-01-15,Kaffe 500g,Beverages,1,66.41,66.41,swish,completed
S-20260115-00945,2026-01-15,Te 20-pack,Beverages,3,34.9,104.7,card,completed
S-20260115-02381,15/01/2026,Gurka,Produce,4,19.9,79.6,card,completed
S-20260115-01992,15/01/2026,Pasta 500g,Pantry,1,19.9,19.9,card,completed
S-20260115-00507,2026-01-15,Ris 1kg,Pantry,2,31.39,62.78,swish,completed
S-20260115-00394,2026-01-15,Mineralvatten 0.5L,Beverages,1,12.66,12.66,card,completed
S-20260115-00472,2026-01-15,Ägg 12-pack,Dairy,1,35.91,35.91,card,completed
S-20260115-00457,15/01/2026,Gurka,Produce,1,19.9,19.9,card,completed
S-20260115-01365,2026-01-15,Ägg 12-pack,Dairy,5,39.9,199.5,swish,completed
S-20260115-02335,15/01/2026,Pasta 500g,Pantry,1,19.9,19.9,swish,refunded
S-20260115-02150,2026-01-15,Bröd Limpa,Bakery,1,28.4,28.4,card,completed
S-20260115-01274,2026-01-15,Pasta 500g,Pantry,3,16.91,50.73,card,completed
S-20260115-00292,2026-01-15,Krossade tomater,Pantry,1,14.9,14.9,card,completed
S-20260115-02277,15/01/2026,Tvättmedel,Household,2,79.9,159.8,card,completed
S-20260115-00747,2026-01-15,Glass,Frozen,1,39.9,39.9,card,completed
