sale_id,sale_date,product_name,category,quantity,unit_price,total_amount,payment_method,status
S-20260112-00832,2026-01-12,Tonfisk burk,Pantry,1,24.9,24.9,card,completed
S-20260112-00125,2026-01-12,Bananer,Produce,1,29.9,29.9,swish,completed
S-20260112-01432,12/01/2026,Krossade tomater,Pantry,1,14.9,14.9,card,completed
S-20260112-01614,2026-01-12,Ägg 12-pack,Dairy,1,39.9,39.9,card,refunded
S-20260112-00701,2026-01-12,Mjölk 1L,Dairy,1,18.9,18.9,card,completed
S-20260112-00650,2026-01-12,Krossade tomater,Pantry,1,14.9,14.9,card,completed
S-20260112-02053,12/01/2026,Krossade tomater,Pantry,1,14.9,14.9,card,completed
S-20260112-00766,2026-01-12,Bananer,Produce,2,29.9,59.8,card,completed
S-20260112-00174,2026-01-12,Ris 1kg,Pantry,1,32.89,32.89,card,completed
S-20260112-00462,12/01/2026,Tvättmedel,Household,2,79.9,159.8,card,completed
S-20260112-01201,12/01/2026,Krossade tomater,Pantry,2,14.9,29.8,cash,completed
S-20260112-00901,2026-01-12,Läsk 1.5L,Beverages,1,24.9,24.9,card,completed
S-20260112-00171,2026-01-12,Tvättmedel,Household,2,79.9,159.8,card,completed
S-20260112-01753,2026-01-12,Toalettpapper 8-pack,Household,1,59.9,59.9,card,completed
S-20260112-00071,2026-01-12,Kaffe 500g,Beverages,2,69.9,139.8,swish,completed
S-20260112-00255,12/01/2026,Schampo,Personal Care,1,47.4,47.4,card,completed
S-20260112-00074,2026-01-12,Tvättmedel,Household,3,79.9,239.7,swish,completed
S-20260112-02623,2026-01-12,Smör 500g,Dairy,1,47.4,47.4,swish,completed
S-20260112-01619,2026-01-12,Krossade tomater,Pantry,2,14.15,28.3,swish,completed
S-20260112-01793,2026-01-12,Glass,Frozen,1,43.89,43.89,card,completed
S-20260112-00795,2026-01-12,Te 20-pack,Beverages,1,34.9,34.9,swish,completed
S-20260112-01905,2026-01-12,Chokladkaka,Snacks,2,24.9,49.8,swish,completed
S-20260112-01030,2026-01-12,Läsk 1.5L,Beverages,3,24.9,74.7,card,cancelled
S-20260112-02133,2026-01-12,Tandkräm,Personal Care,2,29.9,59.8,swish,completed
S-20260112-02563,12/01/2026,Chokladkaka,Snacks,1,24.9,24.9,card,completed
S-20260112-00870,2026-01-12,Te 20-pack,Beverages,4,34.9,139.6,cash,completed
S-20260112-00355,2026-01-12,Te 20-pack,Beverages,1,29.66,29.66,card,completed
S-20260112-02175,2026-01-12,Toalettpapper 8-pack,Household,1,59.9,59.9,card,completed
S-20260112-02275,12/01/2026,Bananer,Produce,3,26.91,80.73,card,completed
S-20260112-02035,2026-01-12,Mineralvatten 0.5L,Beverages,2,13.41,26.82,card,completed
S-20260112-01191,2026-01-12,Kaffe 500g,Beverages,1,69.9,69.9,swish,completed
S-20260112-02117,2026-01-12,Te 20-pack,Beverages,1,34.9,34.9,card,completed
S-20260112-01624,2026-01-12,Chips 275g,Snacks,4,25.41,101.64,card,completed
S-20260112-00033,2026-01-12,Tomater,Produce,1,39.9,39.9,card,completed
S-20260112-01944,2026-01-12,Pasta 500g,Pantry,2,19.9,39.8,card,completed
S-20260112-00742,2026-01-12,Frysta ärtor,Frozen,1,24.9,24.9,card,completed
S-20260112-01766,2026-01-12,Kaffe 500g,Beverages,1,69.9,69.9,card,completed
S-20260112-00437,12/01/2026,Tvättmedel,Household,1,79.9,79.9,card,completed
S-20260112-01657,2026-01-12,Chips 275g,Snacks,2,29.9,59.8,card,completed
S-20260112-00212,12/01/2026,Frysta ärtor,Frozen,2,24.9,49.8,card,completed
S-20260112-01930,12/01/2026,Schampo,Personal Care,1,49.9,49.9,cash,completed
S-20260112-00234,12/01/2026,Tvättmedel,Household,1,79.9,79.9,card,completed
S-20260112-00240,12/01/2026,Smör 500g,Dairy,1,49.9,49.9,swish,refunded
S-20260112-01856,12/01/2026,Tvättmedel,Household,1,79.9,79.9,card,completed
S-20260112-01289,2026-01-12,Krossade tomater,Pantry,1,14.9,14.9,card,completed
S-20260112-02529,2026-01-12,Krossade tomater,Pantry,1,12.66,12.66,cash,completed
S-20260112-00325,2026-01-12,Chokladkaka,Snacks,4,21.16,84.64,swish,completed
S-20260112-01744,12/01/2026,Pasta 500g,Pantry,1,19.9,19.9,card,completed
S-20260112-00510,2026-01-12,Mineralvatten 0.5L,Beverages,2,14.9,29.8,card,completed
S-20260112-00773,2026-01-12,Schampo,Personal Care,1,49.9,49.9,card,completed
S-20260112-01823,2026-01-12,Ris 1kg,Pantry,2,29.9,59.8,swish,completed
S-20260112-01369,12/01/2026,Toalettpapper 8-pack,Household,1,59.9,59.9,card,completed
S-20260112-02191,12/01/2026,Chips 275g,Snacks,1,29.9,29.9,card,completed
S-20260112-00528,2026-01-12,Toalettpapper 8-pack,household,1,59.9,59.9,card,completed
S-20260112-00728,2026-01-12,Mineralvatten 0.5L,Beverages,2,12.66,25.32,cash,completed
S-20260112-00465,2026-01-12,Mineralvatten 0.5L,Beverages,4,13.41,53.64,cash,completed
S-20260112-01466,12/01/2026,Toalettpapper 8-pack,Household,1,59.9,59.9,card,completed
S-20260112-00606,2026-01-12,Godis påse,Snacks,1,19.9,19.9,card,cancelled
S-20260112-02044,2026-01-12,Bröd Limpa,Bakery,1,29.9,29.9,card,completed
S-20260112-01500,2026-01-12,Mjölk 1L,Dairy,3,18.9,56.7,cash,cancelled
S-20260112-01812,2026-01-12,Gurka,Produce,2,17.91,35.82,card,completed
S-20260112-01453,2026-01-12,Mineralvatten 0.5L,Beverages,3,14.9,,card,completed
S-20260112-00299,2026-01-12,Schampo,Personal Care,2,44.91,89.82,swish,completed
S-20260112-02372,2026-01-12,Diskmedel,Household,3,29.9,89.7,card,completed
S-20260112-00045,2026-01-12,Pasta 500g,Pantry,1,19.9,19.9,card,completed
S-20260112-00057,2026-01-12,Pasta 500g,Pantry,1,19.9,19.9,card,completed
S-20260112-00411,2026-01-12,Läsk 1.5L,Beverages,1,24.9,24.9,swish,completed
S-20260112-00787,2026-01-12,Tandkräm,Personal Care,2,32.89,65.78,card,completed
S-20260112-00176,12/01/2026,Tvättmedel,Household,1,79.9,79.9,card,completed
S-20260112-00950,2026-01-12,Tonfisk burk,Pantry,2,24.9,49.8,card,cancelled
S-20260112-02644,2026-01-12,Gurka,Produce,2,17.91,35.82,swish,completed
S-20260112-02105,2026-01-12,Mjölk 1L,Dairy,2,18.9,37.8,card,completed
S-20260112-01089,2026-01-12,Frysta ärtor,Frozen,5,24.9,124.5,card,completed
S-20260112-01128,2026-01-12,Schampo,Personal Care,1,49.9,49.9,cash,completed
S-20260112-01462,2026-01-12,Krossade tomater,Pantry,2,14.9,29.8,card,completed
S-20260112-00271,2026-01-12,Tvättmedel,Household,3,83.9,251.7,card,completed
S-20260112-01777,2026-01-12,Glass,Frozen,2,39.9,79.8,swish,completed
S-20260112-02255,2026-01-12,Gurka,Produce,3,21.89,65.67,card,completed
S-20260112-02159,2026-01-12,Äpplen,Produce,1,34.9,34.9,card,completed
S-20260112-02135,2026-01-12,Glass,Frozen,2,39.9,79.8,card,completed
S-20260112-00749,2026-01-12,Mineralvatten 0.5L,Beverages,3,14.9,44.7,card,completed
S-20260112-01015,12/01/2026,Te 20-pack,Beverages,2,34.9,69.8,card,completed
S-20260112-01450,2026-01-12,Smör 500g,Dairy,2,49.9,99.8,card,completed
S-20260112-01953,2026-01-12,Bröd Limpa,Bakery,2,29.9,59.8,cash,done
S-20260112-01270,2026-01-12,Tvättmedel,Household,1,75.91,75.91,card,completed
